ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788847920.703925524,2382.527714,12.833554,41.327458524,1.968918528e+09,2382560586,12833606,4.41
1788847922.734355808,2386.685374,12.848833,41.379338566,1.969655808e+09,2386724557,12848908,4.41
1788847924.768710236,2390.852224,12.852808,41.383318742,1.970868224e+09,2390887347,12852854,4.29
1788847926.800285745,2395.014791,12.864404,41.426584327,1.971634176e+09,2395051939,12864465,4.29
1788847928.833804526,2399.17601,12.874156,41.459188609,1.971769344e+09,2399213198,12874219,4.59
1788847930.867067040,2403.330013,12.879105,41.467370497,1.97197824e+09,2403362558,12879287,4.59
1788847932.897334164,2407.368015,12.883247,41.478435468,1.8147328e+09,2407400645,12883491,4.59
1788847934.927462127,2411.501137,12.887916,41.483985645,1.816403968e+09,2411531960,12887957,4.38
1788847936.957418001,2415.654978,12.893995,41.501564428,1.816731648e+09,2415687834,12894049,4.38
1788847938.990214943,2419.78552,12.942635,41.680020231,1.820332032e+09,2419824344,12943062,5.15
1788847941.024936256,2423.952719,12.948082,41.696550627,1.820008448e+09,2423985555,12948130,5.15
1788847943.054549750,2428.097629,12.954309,41.714391088,1.820971008e+09,2428130614,12954362,5.15
1788847945.085247595,2432.244079,12.959471,41.724565307,1.821376512e+09,2432277272,12959525,4.90
1788847947.116061565,2436.390192,12.964928,41.743355645,1.821913088e+09,2436420961,12964989,4.90
1788847949.145960979,2440.525904,12.970878,41.757359627,1.822875648e+09,2440558802,12970909,4.75
1788847951.176015179,2444.693306,12.981224,41.787949226,1.823670272e+09,2444740762,12985859,4.75
1788847953.219961032,2448.873891,12.996449,41.858164488,1.824129024e+09,2448906790,12996497,4.75
1788847955.251275469,2453.01754,13.00052,41.862837863,1.82847488e+09,2453050420,13000566,4.53
1788847957.281511126,2457.168685,13.005697,41.884565219,1.828864e+09,2457201801,13005745,4.53
1788847959.312236606,2461.320862,13.015658,41.921929338,1.829421056e+09,2461351730,13015731,4.49
1788847961.345411077,2465.472704,13.020907,41.928465202,1.830084608e+09,2465510114,13021005,4.49
1788847963.379024333,2469.619178,13.024828,41.932372503,1.830936576e+09,2469650123,13024865,4.29
1788847965.409203098,2473.785007,13.0293,41.939488084,1.831735296e+09,2473813773,13029352,4.29
1788847967.437997780,2477.924413,13.034734,41.955951006,1.831849984e+09,2477956593,13034796,4.29
1788847969.468107193,2482.063811,13.045973,41.998672754,1.832415232e+09,2482102983,13046026,4.42
1788847971.501818202,2486.219927,13.053515,42.016535728,1.832968192e+09,2486256833,13053558,4.42
1788847973.535063790,2490.371407,13.056734,42.01900006,1.834274816e+09,2490404384,13057004,4.47
1788847975.568778209,2494.513346,13.060487,42.029319318,1.834795008e+09,2494546099,13060531,4.47
1788847977.600132952,2498.655603,13.065456,42.047875891,1.835761664e+09,2498686258,13065505,4.47
1788847979.630783316,2502.812947,13.07015,42.056220722,1.836630016e+09,2502845868,13070191,4.35
1788847981.661244288,2506.960611,13.074534,42.072548964,1.836978176e+09,2506991199,13074572,4.35
1788847983.691161103,2511.088315,13.077902,42.074638517,1.845628928e+09,2511119186,13077937,4.32
1788847985.720652852,2515.225455,13.081539,42.078716377,1.84612864e+09,2515256124,13081569,4.32
1788847987.750652132,2519.366711,13.090055,42.104454021,1.846550528e+09,2519399684,13090121,4.32
1788847989.781005523,2523.513395,13.096067,42.125873265,1.847181312e+09,2523544316,13096138,4.22
1788847991.810872627,2527.648185,13.102455,42.145352429,1.847533568e+09,2527678967,13102491,4.22
1788847993.840547018,2531.789288,13.106229,42.149004142,1.848160256e+09,2531822108,13106276,4.04
1788847995.870687799,2535.93719,13.109676,42.150579026,1.848672256e+09,2535976330,13109735,4.04
1788847997.904466997,2540.089712,13.115697,42.169640905,1.84889344e+09,2540122541,13115737,4.04
1788847999.934596506,2544.236628,13.122984,42.198333764,1.849634816e+09,2544269627,13123025,4.04
1788848001.964640629,2548.380381,13.128284,42.214057677,1.850335232e+09,2548413227,13128333,4.04
1788848003.994778514,2552.519816,13.131749,42.215676882,1.85133056e+09,2552550781,13131787,3.87
1788848006.026834095,2556.662166,13.138174,42.236381112,1.852182528e+09,2556697331,13138240,3.87
1788848008.058788913,2560.80694,13.142527,42.245054939,1.852932096e+09,2560837769,13142575,3.87
1788848010.088360957,2564.946673,13.148987,42.263220203,1.853505536e+09,2564979508,13149034,3.96
1788848012.118777974,2568.860834,13.271268,42.78824965,1.853362176e+09,2568909748,13278799,3.96
1788848014.167042284,2571.990105,13.783992,44.490167326,1.854410752e+09,2572090613,13806954,5.33
1788848016.263113723,2575.080041,14.515118,46.185067686,1.855578112e+09,2575110395,14539430,5.33
1788848018.315263471,2578.297102,15.275723,47.759311521,1.855991808e+09,2578391045,15298204,50.23
1788848020.400417047,2581.4805,16.054781,49.353675327,1.856135168e+09,2581557015,16069785,50.23
1788848022.474805522,2585.256611,16.597466,50.463961312,1.857130496e+09,2585445906,16628021,50.23
